Male,Asian,White,Black,top,right,bottom,left
0.9708973938176588,0.004331717895417514,0.041977886611580716,0.08695879413863558,462,689,570,581
0.933690574937557,0.003651591694649268,0.01631247003275249,0.47599405599939193,291,544,343,492
0.971716701345845,0.12463803680879752,0.0021340316571579255,0.5615302740332472,295,151,402,44
0.972254758144385,0.010696724665119697,0.020499386744816446,0.8511671879784894,295,592,338,549
0.9884398791036818,0.002601554787911422,0.03137807877896689,0.5697100674954743,343,722,405,660
0.9868107066381061,0.009713715206000579,0.22054182827331212,0.011669886006206574,415,792,504,703
0.989594426591318,0.012606807024680642,0.01799546687630221,0.39220731517120805,274,665,326,613
0.9891145711887576,0.02896248929237329,0.02146387430907637,0.8665605163627312,337,625,389,573
0.9839046682544164,0.010194349955359993,0.008263971360883115,0.5101589627153054,385,474,474,384
0.9730713201857846,0.05131191549325255,0.15170179252557423,0.07332217491617334,294,792,357,729
0.9669565261685804,0.02781696358916261,0.026432487711192203,0.0943145972924204,213,353,287,278
0.9696207749925511,0.014902309124978842,0.0061414619264182424,0.937497156739871,245,734,297,682
0.9436003462817287,0.0559847048702851,0.047836301765168114,0.3172296487840642,329,900,403,834
0.9899076170016239,0.038692623248109945,0.006223771967408935,0.7027095055642255,225,446,288,384
0.9841743637663559,0.058314757564108546,0.00938887230607069,0.5902297638936269,326,481,378,429
