Male,Asian,White,Black,top,right,bottom,left
0.07000025955967996,0.043987830946744626,0.981278767526663,0.0010478545470857593,294,633,330,597
0.38050750919188603,0.011531627393250136,0.951617963807264,0.002483017555356492,468,943,511,900
0.007714223408964141,0.0791812478676528,0.7908703887800675,0.0022473748683144346,270,261,306,225
0.3032187782997497,0.10748942053879365,0.7411608745955612,0.002451716132735087,425,309,468,266
0.06633661831385954,0.06472232930349063,0.9789694885356173,0.0009678676756995758,338,437,374,401
0.9085593531011786,0.06037903912474378,0.5205786914599126,0.0011035359291228575,378,55,429,3
0.97580871506292,0.006583806811956128,0.9341710214451547,0.003407161654315793,435,821,487,769
0.02413117868403952,0.033393657962989466,0.46911023401748947,0.006014823666221268,487,376,530,333
0.9954958756907275,0.012200585058257225,0.9826085521049471,0.02412809540494298,314,45,358,2
0.4318799472918489,0.011881619755263972,0.9050051292370347,0.0063336788943469,343,268,395,216
0.6035605456724435,0.91799502218056,0.019633054630905575,0.010649840347921682,270,821,306,785
0.22999608911066247,0.08911757610676782,0.2693238650644552,0.007190185380068582,487,703,530,660
0.33370265344286154,0.03713405461453757,0.5943269821171242,0.00313174904861521,298,497,334,461
0.17805072940680913,0.017397673675223036,0.8913546965288595,0.00323324228028457,454,50,497,7
0.05727167185135352,0.0007417724377454233,0.9645220734726181,0.005187486723640548,406,885,449,842
0.07783711578624412,0.01920957786931458,0.9170376155381577,0.0005949132032965838,468,208,511,165
0.062230432529995806,0.02837848405182417,0.9642362099628252,0.002562526363589097,420,357,463,314
0.021752606361193916,0.006668953031077079,0.9699265833460216,0.001289995492213839,206,805,242,769
0.01755883453310153,0.06413252152980461,0.6079036867271516,0.0036285567589809087,362,485,398,449
0.7189625359103065,0.003128685919188146,0.967106719291176,0.00561951477116771,186,865,222,829
0.8900811984425869,0.005356753619825917,0.892356443706387,0.017238042598589468,174,405,210,369
0.11462342518381721,0.03942029555522951,0.729598684738405,0.0005499055355300066,305,904,348,861
0.03511751890399564,0.021698344784025228,0.8653883106612151,0.0009299160329519409,478,626,521,583
0.8787277192416941,0.012368205475708927,0.9207779560817917,0.020268763928013647,353,847,396,804
0.05380296112023486,0.00730026153556542,0.8766724677669692,0.000739483045636496,298,585,334,549
