Male,Asian,White,Black,top,right,bottom,left
0.20498663346978943,0.00826583773904467,0.6304601084017796,0.06100968715522759,438,629,546,521
0.9664989459972531,0.0026850932366701153,0.888864549586005,0.012242735635302341,331,1393,438,1286
0.9799570982150945,0.02359415505813521,0.12197971025235009,0.05458337131418723,477,906,632,752
0.16544949832429112,0.011845590378585015,0.8614078438861147,0.0032840930509986004,438,760,546,653
0.2229428471330289,0.0015230184397626162,0.8566034907535969,0.018556278085701178,614,752,769,597
0.08245536851819722,0.005980203027060956,0.8305328304304196,0.002850522166421303,569,1271,698,1142
0.3067290687062363,0.005832578401066282,0.972926391479762,0.014807638357350836,426,342,534,235
0.021648229901173086,0.010035196032740038,0.618543817754428,0.02037818803210139,558,163,665,55
0.9781196512368528,0.0013543834925838583,0.9417062860231361,0.007397252384683375,305,952,395,862
0.2395140997577595,0.005919409594983221,0.9709689778388032,0.025766883046209617,683,941,838,786
0.07026232100247426,0.006451799448695388,0.9252239271518732,0.004873170957802053,555,1099,684,970
0.09353751762502575,0.002132226967315994,0.745754305058588,0.055881204097760075,462,1178,570,1071
0.026933829761237243,0.004322608804048184,0.9650673795924285,0.004818082363726114,438,1286,546,1178
0.9261488619296575,0.12135313371365924,0.3430078605813725,0.03468650997998051,440,1457,569,1328
0.06490783389340943,0.007897191957606648,0.09126686322760125,0.34477165796581505,426,999,534,892
0.92637604061812,0.0003114450206640499,0.9699839974321928,0.025460089941571434,305,404,395,315
