Male,Asian,White,Black,top,right,bottom,left
0.9827714132705312,0.008948647312120235,0.02226274543700781,0.23427428154984936,46,631,89,588
0.9928146340447497,0.0018089412838273372,0.12670698640534017,0.45785178046246344,162,241,198,205
0.7762778121880377,0.032006585173806175,0.012804061845784438,0.5712207455960571,41,549,84,506
0.99051406765863,0.0011844579484891352,0.9878659895908943,0.0011872109606502518,118,345,154,309
0.9884089240655397,0.008676585555025474,0.025257048192709543,0.5365431146432236,126,465,162,429
0.9642320346231148,0.09951418348071978,0.014384768092608973,0.8005672176918238,122,419,166,376
0.8995971602092211,0.002438216037356589,0.8064769504196289,0.009619026490498521,190,193,226,157
0.9676637740527748,0.12466398949312896,0.03095706285913302,0.4428564546122314,132,295,175,252
0.958006941739582,0.008840707371209601,0.02367934878302166,0.7688979133497003,198,165,234,129
