Male,Asian,White,Black,top,right,bottom,left
0.9896789248085364,0.004388788789496185,0.885675364534796,0.01319032422688282,170,180,214,136
0.33416834099588505,0.029196440415252066,0.9156825423660383,0.002078746064736651,228,703,271,660
0.10134714202859163,0.0039549579776051984,0.9936519702461729,0.0029820849572452473,250,173,286,137
0.012163038453243964,0.013903497051671826,0.9026003641020661,0.003968567773018938,185,655,228,612
0.20174691659618726,0.003537105214862653,0.9981181280389959,0.0033501905393922443,55,88,98,45
0.038120084076419175,0.011282569152488195,0.6348131475991904,0.03347674983618618,242,585,278,549
0.9739306363201864,0.014357442334503714,0.20423319476565976,0.035475404269746755,367,708,410,664
0.04830272512430997,0.01121604217618748,0.6386487458277605,0.007817666819060258,358,213,401,170
0.9884146566628247,0.35669810284422027,0.6627667681713897,0.006750887400441212,108,175,151,132
0.9599604070784056,0.000949653606094477,0.9184102520154491,0.0021891805491574775,79,304,122,261
0.9763787339584814,0.013724868056550857,0.9764233249465988,0.005187832007013008,44,429,95,377
0.061906857524944285,0.013697496555492406,0.9841069342939373,0.0010994285777504852,38,777,74,741
0.04332459432085902,0.02104865953908012,0.1385099663173789,0.15302895632332078,291,268,343,216
0.9383602710027122,0.04556652091983181,0.9683211340097798,0.0022077344003116326,78,510,130,458
0.9875528877453479,0.005541337801152316,0.9884458347043933,0.009579242614999877,319,103,362,59
0.9883554096392699,0.10844886151459131,0.9158164824992435,0.009766539315520018,2,725,38,689
0.787142060636685,0.002461505421155832,0.7767431823495161,0.0010359165033688616,32,682,84,631
0.5146920792752202,0.04490192027511942,0.9061646181585064,0.001515447623317039,102,589,138,553
0.9040450351648602,0.3205145695130477,0.014769238498029155,0.26716117795158395,70,249,106,213
0.9450299852768789,0.004243038169716521,0.9729188821909593,0.00916463681427404,122,653,158,617
