Male,Asian,White,Black,top,right,bottom,left
0.009249277061946668,0.006314767730155068,0.8956284344207254,0.00909050448936564,375,116,464,26
0.03650053851819534,0.2333865671057419,0.7619287942563145,0.0014141168680311801,450,378,558,270
0.9657736934073415,0.0074719745404583085,0.8742072975265259,0.00266710845520861,235,987,343,880
0.8267294581939316,0.03919424662617576,0.2031749720892386,0.0019440146827156225,395,1101,484,1011
0.976304763603084,0.03471492574069974,0.7554650284688743,0.014237508304949294,311,726,440,597
