Male,Asian,White,Black,top,right,bottom,left
0.9896789307870407,0.004388802018343789,0.8856753218269088,0.01319036610119561,170,180,214,136
0.33416943295797397,0.02919645434148326,0.9156825832189329,0.0020787466429946846,228,703,271,660
0.10134717468450379,0.003954974673147599,0.9936519552118823,0.0029820820938587633,250,173,286,137
0.012163017751525092,0.013903508679158325,0.9026002087587476,0.003968568813716351,185,655,228,612
0.20174713220052098,0.0035371023830904347,0.9981181261960287,0.003350193967120179,55,88,98,45
0.038120111954664165,0.011282567081088525,0.6348133442402011,0.03347672694496946,242,585,278,549
0.04830266978620877,0.011216009523183024,0.6386485897118699,0.007817689434609665,358,213,401,170
0.9739306248786939,0.014357416628562833,0.20423274250344728,0.03547558769245012,367,708,410,664
0.9884146251271132,0.3566982379656326,0.6627671256778006,0.006750883765106159,108,175,151,132
0.9599604893462473,0.0009496557239200796,0.9184100032375235,0.0021891778739615317,79,304,122,261
0.9763786587100527,0.013724818527681246,0.9764233255377099,0.005187839789718922,44,429,95,377
0.06190689257758856,0.013697490746993907,0.9841069159567793,0.0010994296417831905,38,777,74,741
0.04332464878665395,0.021048690126603393,0.13850946247784296,0.15302903074504165,291,268,343,216
0.9383602935797282,0.04556650248606108,0.9683211616660028,0.002207729863447498,78,510,130,458
0.9875529040185081,0.005541338916994605,0.9884458530263123,0.009579248450208971,319,103,362,59
0.9883554380451287,0.10844908175819469,0.9158162187686236,0.00976652595565618,2,725,38,689
0.78714218152861,0.0024615075839803597,0.7767435030064574,0.0010359143867855435,32,682,84,631
0.5146928133801448,0.04490199373499762,0.9061645537272288,0.0015154466759942043,102,589,138,553
0.9040451704677683,0.3205152543984262,0.014769243910214322,0.267160713973644,70,249,106,213
0.9450302198667284,0.004243060389239923,0.9729188869586732,0.009164607702764704,122,653,158,617
