Male,Asian,White,Black,top,right,bottom,left
0.9708973496535496,0.004331720123303218,0.04197791070287365,0.08695882823006845,462,689,570,581
0.933690413299812,0.0036515881041633263,0.016312497454598725,0.4759934817234198,291,544,343,492
0.9717166312622957,0.12463797177181203,0.002134028437419238,0.5615308155680079,295,151,402,44
0.9722547967100349,0.010696754387496236,0.02049934943790423,0.8511670884935583,295,592,338,549
0.9884398996367969,0.0026015503427670476,0.0313780587910368,0.56971055464982,343,722,405,660
0.9868106983731321,0.009713697952546887,0.22054254438662,0.011669854594113637,415,792,504,703
0.9895944472053558,0.012606816052797912,0.017995489014988333,0.3922073651827425,274,665,326,613
0.9891145736395935,0.02896250038912347,0.02146383717896006,0.8665606184579848,337,625,389,573
0.9839047132556069,0.010194335148975118,0.008263956790338917,0.5101588843175757,385,474,474,384
0.9730713798072957,0.05131179347476223,0.15170182765364998,0.07332208377782445,294,792,357,729
0.9669565607156343,0.027817000080213726,0.02643241608723822,0.09431475377529823,213,353,287,278
0.9696207245221584,0.014902305563795003,0.006141475984951086,0.9374970553786197,245,734,297,682
0.9899075688295983,0.03869270243997827,0.006223778165867264,0.7027101378001879,225,446,288,384
0.9436003062299135,0.055984635118271196,0.04783635210029487,0.31722983468872057,329,900,403,834
0.9841743126510392,0.05831491197276068,0.009388862350593502,0.5902304577133534,326,481,378,429
