Male,Asian,White,Black,top,right,bottom,left
0.9827714644161262,0.008948646731079682,0.022262782513311808,0.23427411112928279,46,631,89,588
0.9928146206754849,0.0018089421408698403,0.1267074461056199,0.4578518366263321,162,241,198,205
0.7762776739158945,0.03200660799622357,0.01280404393996926,0.5712213468906131,41,549,84,506
0.99051406560937,0.0011844568827373433,0.9878659703240924,0.0011872123645197896,118,345,154,309
0.9884089453587757,0.008676586192310981,0.025257020415221716,0.5365432893659973,126,465,162,429
0.964232019598327,0.09951421442632764,0.014384776077785372,0.8005669319532782,122,419,166,376
0.8995972261215482,0.002438216454940293,0.8064768483953945,0.009619022257957707,190,193,226,157
0.9717889815798786,0.11686766115060652,0.029190256387744376,0.4478524950921861,138,293,174,257
0.9580068378483972,0.0088407256149,0.023679342763658025,0.7688978261996906,198,165,234,129
