Male,Asian,White,Black,top,right,bottom,left
0.4530003893714487,0.0007471224101419763,0.9395468543298529,0.003839747019719641,253,476,408,322
0.9213781020640017,0.0005344829850467296,0.925155527799207,0.0030572643815577672,266,712,489,489
0.9924628557253847,0.005133024337830282,0.7984649767552516,0.010296628296973002,8,700,116,593
0.09039961980162196,0.0036030792890679635,0.9914338664434739,0.006206721407569915,98,253,253,98
0.9926451646351779,0.19535485382546883,0.524662102912731,0.009774229692792897,80,552,155,478
0.0694729547309351,0.0005017595042694911,0.9840272723023584,0.012540049966093416,68,450,175,342
0.9434383736130247,0.014866893393898602,0.015640693618759045,0.9561689147809688,167,889,322,734
0.037311216403107174,0.030567004502448696,0.8219198256598003,0.01232265572560666,211,354,340,225
