Male,Asian,White,Black,top,right,bottom,left
0.12570637426786369,0.9618687123448819,0.10560819766035161,0.007811502338026205,153,279,205,227
0.1625286985964136,0.9649725334365185,0.03650733412557762,0.002388512512614997,130,636,182,584
0.9139672097931891,0.8204331688569367,0.016501168301185712,0.08910903995671877,170,66,222,14
0.9579868740485634,0.9620198219397323,0.06564440626643604,0.006270509359646901,141,463,193,412
0.348448020962633,0.9638239743909609,0.0577463761942365,0.0016394664083945979,267,246,329,183
0.8728054633874741,0.765115137920378,0.09400542974649935,0.002399028945705398,14,101,50,65
0.06526237362332049,0.9599717757816323,0.07723580775738773,0.0007842159353645447,38,521,74,485
0.028578496215152766,0.9948810514664758,0.021007761237355323,0.005326216933547096,2,633,38,597
0.02196218380667212,0.0959690038958365,0.42115036894150354,0.004006366036727221,246,494,308,432
0.08127761336883838,0.950456257030799,0.16490604758333471,0.0011225712310313379,6,381,42,345
0.015299311121185984,0.13950679408112804,0.37330572908834064,0.003991095290758557,2,273,38,237
