Male,Asian,White,Black,top,right,bottom,left
0.9928040107959586,0.07060490806731791,0.7903669768589874,0.003082998008315668,268,78,320,26
0.965632609460287,0.0018908756477281274,0.9136228308647709,0.023914577462895558,239,432,301,370
0.9791863226576266,0.004948644138048497,0.6971925702991816,0.013169833035454022,214,199,257,156
0.9329763619159153,0.002013358367730521,0.7238661061259055,0.02537097657609525,213,619,287,544
0.9663649750682287,0.01644730480955043,0.005725661476038143,0.7628262848951037,280,325,331,273
0.9898037294101211,0.03542798824281898,0.9495442734202493,0.001566384868163626,247,275,290,232
