Male,Asian,White,Black,top,right,bottom,left
0.9937776158849642,0.0007453644925554835,0.9917876896346397,0.001537402523393006,1283,736,1345,674
0.986080753755773,0.003938357552280756,0.8319504094407989,0.005685592616003517,1478,607,1530,556
0.7635227618261968,0.9687667525188088,0.0065650764236439415,0.01724760945819154,1442,1538,1504,1476
0.9615994474237075,0.007735974513240215,0.7840995655539856,0.007083853328222075,1270,988,1322,936
0.9595769059460558,0.7333260508708589,0.09137360334444396,0.001947075825391905,1373,2374,1435,2312
0.9673984712492881,0.022074388827555063,0.8047009153906781,0.0032484111773312735,1331,2609,1393,2547
0.9568756229275657,0.36575020204110603,0.09203839631529112,0.01105667421471205,1276,1427,1338,1365
0.9879620213684245,0.829174537700789,0.07399869810311842,0.0372903639299356,1373,1455,1435,1393
0.8846842370214321,0.8116278102144748,0.10412064004575015,0.02998372512787047,1276,2289,1328,2238
0.9772628834731564,0.002548568938775669,0.9664046153189585,0.013819473819107527,1456,2817,1518,2755
0.9831372635449291,0.0384842341783833,0.9370465285937123,0.01563579213795663,1483,2056,1545,1994
0.9770133307299178,0.10128058917568364,0.7798995743038234,0.00462571452979099,1483,2264,1545,2202
0.9841764243340592,0.9560460512325246,0.04051480231620968,0.019460993705919746,1270,1633,1322,1581
0.940284076327969,0.9664871090905939,0.03254367710475252,0.03074751922268634,1293,2082,1345,2030
0.9909689910855106,0.012359846797782827,0.556204940383516,0.012775262088249013,1386,2157,1437,2105
0.28461654664593894,0.8984224777848172,0.1231923041594958,0.0011082522148707522,1525,2533,1587,2471
0.9647569129405387,0.8440865983998319,0.0055696137151868925,0.18951895129304186,1456,363,1518,301
0.9698020503882853,0.12107847227080425,0.6676740427494334,0.012084847675565901,1469,163,1532,100
0.830517403671672,0.8683903182571274,0.03516344055440948,0.037362072109881,1400,1213,1463,1151
0.9519884695996714,0.011503741459238229,0.7762362893279302,0.021441837594943725,1432,1068,1484,1016
0.9909950588319385,0.0286694234609721,0.899114282683499,0.013930312854369346,1276,2791,1328,2739
0.8941740078399948,0.023082307710924475,0.876737274004044,0.018356266532686592,1276,2526,1328,2474
0.10017050392730295,0.023430759716033367,0.8614875208993518,0.022920434695217443,1270,1207,1322,1155
0.9698444090348505,0.0028643780149335664,0.9594510018629193,0.018737990663133346,1380,2791,1432,2739
0.9824497954067529,0.01593648999345979,0.9459351856428,0.00993762120604319,1259,1857,1311,1806
0.8205049316454741,0.018971837716307723,0.038362000624516175,0.6576710451036111,1357,1932,1409,1880
0.9868330311702498,0.011335677034128893,0.8627644628664771,0.00776584440353825,1345,992,1407,930
0.07113098281111867,0.00343442975241686,0.9560054061224983,0.006406868302497249,1476,1289,1539,1227
0.8035332908548584,0.16499435668852003,0.00595170011052045,0.7846221172450359,1472,815,1524,763
0.9166652161295482,0.005783421803824444,0.7351201732870108,0.014768550826736147,1432,1796,1507,1722
0.9134767158417443,0.07469439948114048,0.012543021085557977,0.8689261772308016,1345,1704,1407,1642
0.06969747957885494,0.028133034178231334,0.8748896620263765,0.010445527568970457,1363,613,1414,561
0.9826133337879946,0.009149937881202719,0.6737464800372347,0.0038418636225039915,1345,429,1397,377
0.9498870378879449,0.01731015836958885,0.8215332844241139,0.018343390426286386,1366,3032,1440,2958
0.9584344910138952,0.006231774544531112,0.942591706273328,0.03503677307105766,1363,809,1414,757
